"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_items_full_crud_flow_round_trip","tests.flow","2026-06-01","passed","2026-06-01","","test_api_flow","",""
"","0","test_items_delete_existing_returns_deleted_true","tests.flow","2026-06-01","passed","2026-06-01","","test_api_flow","",""
"","0","test_find_item_returns_none_when_id_absent[5]","tests.unit","2026-06-01","passed","2026-06-01","","test_unit_example","",""
"","0","test_issue_token_expires_one_hour_after_iat[c]","tests.unit","2026-06-01","passed","2026-06-01","","test_unit_example","",""
"","0","test_item_equality_matches_dataclass_semantics[a3-b3-False]","tests.unit","2026-06-01","passed","2026-06-01","","test_unit_example","",""
"","0","test_item_equality_matches_dataclass_semantics[a2-b2-False]","tests.unit","2026-06-01","passed","2026-06-01","","test_unit_example","",""
"","0","test_find_item_returns_none_when_id_absent[999]","tests.unit","2026-06-01","passed","2026-06-01","","test_unit_example","",""
"","0","test_item_construction_roundtrips_fields[12345-big-meta9]","tests.unit","2026-06-01","passed","2026-06-01","","test_unit_example","",""
"","0","test_require_bearer_returns_claims_for_valid_token[bob]","tests.unit","2026-06-01","passed","2026-06-01","","test_unit_example","",""
"","0","test_issue_token_returns_non_empty_string[alice]","tests.unit","2026-06-01","passed","2026-06-01","","test_unit_example","",""
